Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Marie Ferdinand-Harris,SAS,G,17,509,17,17,29.9,3.9,9.5,.414,0.6,1.6,.370,3.4,7.9,.422,3.2,3.8,.859,1.1,3.2,1.7,1.9,0.1,2.1,2.0,11.7
Cheryl Ford,DET,F,31,912,31,31,29.4,3.8,9.3,.411,0.0,0.0,,3.8,9.3,.411,3.0,5.1,.589,3.4,9.6,1.1,1.3,0.8,1.7,3.8,10.6
Trina Frierson,SEA,F,5,22,5,0,4.4,0.4,1.8,.222,0.0,0.2,.000,0.4,1.6,.250,0.6,0.6,1.000,0.6,1.0,0.0,0.0,0.0,0.2,1.4,1.4
Candace Futrell,CON,G,20,144,20,0,7.2,0.6,1.9,.289,0.4,0.9,.412,0.2,1.1,.190,0.7,0.8,.813,0.4,1.0,0.5,0.3,0.1,0.4,1.0,2.1
Adrienne Goodson,SAS,F,34,1068,34,34,31.4,4.2,9.3,.448,0.1,0.5,.250,4.1,8.9,.458,2.5,3.0,.824,2.6,6.9,1.8,0.8,0.1,2.0,2.3,10.9
Shaunzinski Gortman,WAS,G,4,24,4,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.5,0.0,0.3,0.5,0.0,0.0
Michelle Greco,SEA,G,13,73,13,0,5.6,0.8,1.4,.556,0.0,0.2,.000,0.8,1.2,.625,0.7,1.0,.692,0.2,0.8,0.6,0.2,0.0,0.6,0.5,2.2
Yolanda Griffith*,SAC,C-F,34,1031,34,34,30.3,5.2,10.0,.519,0.0,0.0,.000,5.2,10.0,.521,4.1,5.5,.753,3.6,7.2,1.2,2.2,1.2,1.7,2.9,14.5
Lady Grooms,SAC,F,28,235,28,0,8.4,0.7,2.4,.288,0.0,0.0,,0.7,2.4,.288,0.4,0.4,.917,0.4,0.6,0.4,0.3,0.1,0.1,0.5,1.8
Gordana Grubin,HOU,G,5,24,5,0,4.8,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,0.4,0.4,1.000,0.0,0.2,0.0,0.0,0.0,0.6,0.4,0.4
Becky Hammon*,NYL,G,34,1130,34,34,33.2,4.5,10.4,.432,1.7,5.0,.335,2.8,5.4,.522,2.9,3.4,.836,0.5,3.5,4.4,1.7,0.1,3.5,2.1,13.5
Vanessa Hayden,MIN,C,29,350,29,1,12.1,2.3,5.5,.415,0.0,0.0,,2.3,5.5,.415,0.7,1.3,.553,0.8,2.9,0.2,0.2,1.0,1.2,2.2,5.3
Jessie Hicks,SAS,C-F,27,371,27,10,13.7,1.9,4.1,.468,0.0,0.0,,1.9,4.1,.468,0.9,1.4,.605,0.9,2.1,0.7,0.6,0.5,1.3,2.1,4.7
Doneeka Lewis,LAS,G,24,245,24,3,10.2,0.7,2.2,.308,0.2,0.7,.235,0.5,1.5,.343,0.3,0.4,.700,0.1,0.9,0.7,0.4,0.1,0.7,0.4,1.8
Ebony Hoffman,IND,F,30,334,30,13,11.1,0.9,2.8,.313,0.2,0.6,.294,0.7,2.2,.318,0.1,0.1,.750,1.1,2.9,0.7,0.5,0.2,0.9,1.7,2.0
Chamique Holdsclaw,WAS,F,23,801,23,22,34.8,7.0,17.5,.402,0.3,0.7,.412,6.7,16.8,.402,4.6,5.7,.803,2.2,8.3,2.4,1.7,0.8,2.5,2.9,19.0
Kedra Holland-Corn,HOU,G,27,703,27,21,26.0,2.2,5.9,.371,1.1,3.6,.320,1.0,2.3,.452,1.0,1.5,.683,0.7,2.4,2.0,1.5,0.1,1.7,1.9,6.6
Niele Ivey,IND,G,15,179,15,1,11.9,0.7,2.5,.297,0.5,1.6,.333,0.2,0.9,.231,0.3,0.4,.667,0.1,0.7,1.2,0.3,0.2,0.4,1.3,2.3
Deanna Jackson,IND,F,34,804,34,32,23.6,2.7,7.4,.367,0.0,0.4,.000,2.7,7.0,.385,1.5,2.1,.712,1.7,3.3,1.6,0.9,0.2,1.5,2.4,6.9
Lauren Jackson*,SEA,F-C,31,1070,31,31,34.5,7.1,14.8,.478,1.7,3.7,.452,5.4,11.1,.487,4.6,5.6,.811,2.1,6.7,1.6,1.0,2.0,2.2,3.0,20.5
Tamicha Jackson,WAS,G,25,405,25,12,16.2,2.3,5.4,.422,0.4,1.0,.400,1.9,4.4,.427,0.4,0.6,.688,0.3,1.5,1.8,0.8,0.0,1.1,0.8,5.4
Amber Jacobs,MIN,G,32,391,32,0,12.2,1.0,3.1,.310,0.6,1.9,.317,0.4,1.3,.300,0.6,0.7,.909,0.1,1.1,1.5,0.4,0.0,1.4,1.1,3.2
