league,lg,season,season_start_year,player_name,player_id,team,pos,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,GS
WNBA,WNBA,1997-98,1997,Kim Williams,,UTA,G,28,21.7,8.1,2.1,2.9,1.2,3.1,8.2,0.384,0.3,1.2,0.265,2.8,7.0,0.405,1.5,1.9,0.774,1.4,0.3,2.0,3.0,,,,,,1997,1.0,10
WNBA,WNBA,1997-98,1997,Debra Williams,,CHA,G,10,11.6,2.7,0.9,1.3,0.3,1.1,4.3,0.256,0.4,1.8,0.222,0.7,2.5,0.28,0.1,0.2,0.5,0.2,0.0,0.6,0.9,,,,,,1997,1.0,2
WNBA,WNBA,1997-98,1997,Jamila Wideman,,LAS,G,28,22.6,3.0,3.7,2.0,0.6,0.9,3.8,0.236,0.3,1.3,0.194,0.6,2.5,0.257,1.0,1.2,0.794,0.9,0.0,1.8,1.6,,,,,,1997,1.0,14
WNBA,WNBA,1997-98,1997,Sue Wicks,,NYL,F,28,11.9,3.6,1.0,3.4,1.3,1.4,3.8,0.355,0.1,0.3,0.286,1.3,3.6,0.36,0.8,1.2,0.667,0.6,0.6,1.6,1.9,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Umeki Webb,,PHO,G-F,28,27.7,5.0,2.4,4.2,1.5,1.7,5.6,0.297,0.0,0.5,0.067,1.6,5.1,0.322,1.6,2.4,0.687,2.4,0.3,2.0,3.3,,,,,,1997,1.0,17
WNBA,WNBA,1997-98,1997,Teresa Weatherspoon*,,NYL,G,28,33.0,7.0,6.2,4.1,0.9,2.3,4.9,0.467,0.1,1.3,0.086,2.2,3.6,0.598,2.3,3.6,0.65,3.0,0.1,3.4,2.6,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Tia Jackson,,PHO,F,26,12.3,2.8,1.0,2.2,1.0,1.0,2.8,0.342,0.1,0.3,0.375,0.8,2.5,0.338,0.8,1.0,0.84,0.9,0.3,1.4,1.2,,,,,,1997,1.0,6
WNBA,WNBA,1997-98,1997,Danielle Viglione,,SAC,G,7,4.3,1.0,0.1,0.6,0.1,0.4,1.6,0.273,0.1,0.6,0.25,0.3,1.0,0.286,0.0,0.0,,0.1,0.0,0.0,0.7,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Molly Tuter,,PHO,G,3,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Trena Trice,,NYL,F-C,28,12.1,4.8,0.1,2.4,1.1,1.8,3.3,0.554,0.1,0.3,0.25,1.8,3.0,0.583,1.1,1.6,0.667,0.3,0.3,1.4,2.3,,,,,,1997,1.0,0
